group_id,leader,member,modify_leader,image_url
3,1 cucumber single,1 cucumber single,Yes,https://d1ralsognjng37.cloudfront.net/333d9527-4fd8-4afa-9d80-e5aecc7da00b.jpeg
11,10 british big egg,10 british big egg,Yes,https://d1ralsognjng37.cloudfront.net/88a8889e-5941-4c29-9695-89ff68d10d1a.jpeg
14,10 medium egg,10 medium egg,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/154c419c036256e48289eea5680af2a4/b4facf495c22df52f3ca635379ebe613.jpeg
63,3 baby chicken hmc halal,1 baby chicken hmc halal,Yes,https://d1ralsognjng37.cloudfront.net/40132674-9a4a-441d-8b5c-5b0efcf8e3a7.jpeg
63,3 baby chicken hmc halal,2 baby chicken hmc halal,Yes,
63,3 baby chicken hmc halal,3 baby chicken hmc halal,Yes,https://d1ralsognjng37.cloudfront.net/46c798fa-59fe-460d-9f29-76fd6f476229.jpeg
71,3 instore bakery white demi baguette,3 instore bakery white demi baguette,Yes,https://d1ralsognjng37.cloudfront.net/08b861c1-a274-4582-acca-a6b48a2d8f68.jpeg
76,3 mini pack fridge raider chicken bite southern style,3 mini pack fridge raider chicken bite southern style,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/af59ad3072fb26d7933ba6975ad301dd/859baff1d76042a45e319d1de80aec7a.jpeg
86,4 foster 440ml,4 foster 440ml,Yes,
89,4 instore bakery funsize double chocolate doughnut,4 instore bakery funsize double chocolate doughnut,Yes,https://d1ralsognjng37.cloudfront.net/021bfaf3-33cf-4707-91ff-7a5182526ac9.jpeg
90,4 instore bakery funsize jam doughnut,4 instore bakery funsize jam doughnut,Yes,https://d1ralsognjng37.cloudfront.net/1e777c53-91e0-47de-94d0-4a2e01651793.jpeg
91,4 instore bakery white petit pain,4 instore bakery white petit pain,Yes,https://d1ralsognjng37.cloudfront.net/0da38b94-b182-4e3a-b29a-b900970a6f57.jpeg
112,5 litre water,5 litre water,Yes,
118,6 british egg medium,6 british egg medium,Yes,https://d1ralsognjng37.cloudfront.net/92589fa2-75e6-481f-a88e-426aca16f563.jpeg
132,7 day double max cocoa vanilla croissant 80g,7 day double max cocoa vanilla croissant 80g,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/bfdd26c3455a28ce3b87cd438b5cf799/b4facf495c22df52f3ca635379ebe613.jpeg
137,7 day mini croissant,7 day mini croissant,Yes,https://d1ralsognjng37.cloudfront.net/5dae6d81-0710-4c82-957c-3fa9b5fc5324.jpeg
24648,7 up regular 2 l,regular 7 up,No,
24648,7 up regular 2 l,regular 7 up 2ltr,No,https://d1ralsognjng37.cloudfront.net/3443b546-5866-4881-b363-a936dfd855a5.jpeg
190,7up regular lemon lime bottle 2l,7up regular lemon lime bottle 2l,Yes,https://d1ralsognjng37.cloudfront.net/03e1c884-8b41-4d92-bc41-bb92c7cccdee.jpeg
237,absolut mixt blueberry lime 250ml,absolut mixt blueberry lime 250ml,Yes,https://tb-static.uber.com/prod/image-proc/processed_images/02916851bfe0535cd72e0a4edfca3be1/859baff1d76042a45e319d1de80aec7a.jpeg
276,acqua panna still mineral water in glass bottle 70cl,acqua panna still mineral water in glass bottle 70cl,Yes,https://d1ralsognjng37.cloudfront.net/a71639e5-6d34-4102-bbd4-5cf9562de101.jpeg
297,adnams broadside 500ml,adnams broadside 500ml,Yes,
306,aero block chocolate 100g,aero block chocolate 100g,Yes,
307,aero bubble milk choc bar,aero bubble milk choc bar,Yes,https://d1ralsognjng37.cloudfront.net/76d6bf34-d3c8-4490-87ad-f0ac676f098e.webp
370,aero darkmilk peppermint chocolate sharing bar 90 g,aero milk chocolate sharing bar 90g ,No,https://tb-static.uber.com/prod/image-proc/processed_images/57577736baaba7a79f1dbe35bb5c44a9/859baff1d76042a45e319d1de80aec7a.jpeg
370,aero darkmilk peppermint chocolate sharing bar 90 g,aero orange chocolate sharing bar 90g ,No,https://tb-static.uber.com/prod/image-proc/processed_images/59587348d5f6532aa4896a587eb397d2/859baff1d76042a45e319d1de80aec7a.jpeg
370,aero darkmilk peppermint chocolate sharing bar 90 g,aero peppermint mint chocolate sharing bar 90g ,No,https://tb-static.uber.com/prod/image-proc/processed_images/5c58f0aa7395e1370d5b04e529501c34/859baff1d76042a45e319d1de80aec7a.jpeg
343,aero mint,aero mint ,No,https://d1ralsognjng37.cloudfront.net/7d755696-ddc0-4733-96fa-2cf0238c627d.jpeg
